Address,PropertyUse,XCoord,YCoord,K12_est,K-12_by_point
2438 Independence Ln Unit P8,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2438 Independence Ln Unit P7,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2438 Independence Ln Unit P6,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2438 Independence Ln Unit P5,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2438 Independence Ln Unit P4,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2438 Independence Ln Unit P3,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
4318 Melody Ln Unit 202,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4318 Melody Ln Unit 201,Condominium,841065.9400574,503834.33067209,0.15531563244542773,36.00000000000042
4322 Melody Ln Unit 112,Condominium,841065.9400574,503834.33067209,0.15531563244542773,36.00000000000042
4322 Melody Ln Unit 111,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
2450 Independence Ln Unit P7,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2430 Independence Ln Unit 204,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
2450 Independence Ln Unit P9,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2416 Independence Ln Unit 106,Condominium,841065.9400574,503834.33067209,0.15531563244542773,36.00000000000042
2418 Independence Ln Unit 204,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
